number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,params_selector__k,user_attrs_feature_level,user_attrs_top_k_features,state
116,-0.0016559721242364045,2025-12-07 02:06:57.997668,2025-12-07 02:06:59.432173,0 days 00:00:01.434505,0.0010938362081813501,74,extensive,74,COMPLETE
117,-0.0016559721242364045,2025-12-07 02:06:59.433279,2025-12-07 02:07:00.881625,0 days 00:00:01.448346,2.1669404737809566,139,extensive,139,COMPLETE
118,0.00027513804175294254,2025-12-07 02:07:00.882773,2025-12-07 02:07:02.314803,0 days 00:00:01.432030,0.0005321978218621103,94,extensive,94,COMPLETE
119,-0.15415102268570538,2025-12-07 02:07:02.315951,2025-12-07 02:07:03.729785,0 days 00:00:01.413834,0.00011395097770563628,149,extensive,149,COMPLETE
120,-0.0013740521219907098,2025-12-07 02:07:03.731768,2025-12-07 02:07:05.196486,0 days 00:00:01.464718,0.0004450145811738703,108,extensive,108,COMPLETE
121,0.0003453969809111464,2025-12-07 02:07:05.198559,2025-12-07 02:07:06.680577,0 days 00:00:01.482018,0.0005398505154880315,90,extensive,90,COMPLETE
122,-0.02037303251708722,2025-12-07 02:07:06.682097,2025-12-07 02:07:08.169981,0 days 00:00:01.487884,0.0002342654106549787,85,extensive,85,COMPLETE
123,-0.0007811732509319658,2025-12-07 02:07:08.172090,2025-12-07 02:07:09.676072,0 days 00:00:01.503982,0.0004888655215886226,62,extensive,62,COMPLETE
124,-0.0007669844637594458,2025-12-07 02:07:09.676574,2025-12-07 02:07:11.205620,0 days 00:00:01.529046,0.0007867146420706623,78,extensive,78,COMPLETE
125,-0.005468579730958896,2025-12-07 02:07:11.206620,2025-12-07 02:07:12.649664,0 days 00:00:01.443044,0.00035194251290994466,119,extensive,119,COMPLETE
126,-0.040448063990310056,2025-12-07 02:07:12.651665,2025-12-07 02:07:14.211179,0 days 00:00:01.559514,0.0001856189902761682,93,extensive,93,COMPLETE
127,-0.010573600919559278,2025-12-07 02:07:14.212692,2025-12-07 02:07:15.836588,0 days 00:00:01.623896,0.0002845830979893204,47,extensive,47,COMPLETE
128,-0.0013239942842007135,2025-12-07 02:07:15.837592,2025-12-07 02:07:17.380263,0 days 00:00:01.542671,0.0009431537466293091,180,extensive,180,COMPLETE
129,-0.0016559721242364045,2025-12-07 02:07:17.380263,2025-12-07 02:07:18.789050,0 days 00:00:01.408787,0.0013360647710512297,137,extensive,137,COMPLETE
130,0.0002251589011109297,2025-12-07 02:07:18.790015,2025-12-07 02:07:20.246745,0 days 00:00:01.456730,0.0005837216441948216,108,extensive,108,COMPLETE
131,-0.0002475132670114825,2025-12-07 02:07:20.247253,2025-12-07 02:07:21.673486,0 days 00:00:01.426233,0.0006532313329231609,110,extensive,110,COMPLETE
132,0.0004773038117668789,2025-12-07 02:07:21.675768,2025-12-07 02:07:23.128521,0 days 00:00:01.452753,0.0005401217727349512,119,extensive,119,COMPLETE
133,-0.003530522099270702,2025-12-07 02:07:23.129526,2025-12-07 02:07:24.634357,0 days 00:00:01.504831,0.0003868530520927503,124,extensive,124,COMPLETE
134,0.0001346667925434438,2025-12-07 02:07:24.635281,2025-12-07 02:07:26.083334,0 days 00:00:01.448053,0.0005052849804446205,161,extensive,161,COMPLETE
135,-0.00046978504373595964,2025-12-07 02:07:26.084403,2025-12-07 02:07:27.510335,0 days 00:00:01.425932,0.0007017996596807526,101,extensive,101,COMPLETE
136,-0.00012285007233669987,2025-12-07 02:07:27.511338,2025-12-07 02:07:28.918687,0 days 00:00:01.407349,0.0005016128635253776,89,extensive,89,COMPLETE
137,-0.0013138284015714596,2025-12-07 02:07:28.919691,2025-12-07 02:07:30.371987,0 days 00:00:01.452296,0.0009385070383238321,144,extensive,144,COMPLETE
138,-0.0016559721242364045,2025-12-07 02:07:30.372987,2025-12-07 02:07:31.760670,0 days 00:00:01.387683,0.001830651598445438,60,extensive,60,COMPLETE
139,-0.016472140305558252,2025-12-07 02:07:31.761674,2025-12-07 02:07:33.178388,0 days 00:00:01.416714,0.00026417899297444177,71,extensive,71,COMPLETE
140,0.0003477065551069636,2025-12-07 02:07:33.179392,2025-12-07 02:07:34.588741,0 days 00:00:01.409349,0.0005606623999496776,121,extensive,121,COMPLETE
141,0.0004595038157089171,2025-12-07 02:07:34.588741,2025-12-07 02:07:36.002891,0 days 00:00:01.414150,0.0005363083925159667,116,extensive,116,COMPLETE
142,-0.002963994640869864,2025-12-07 02:07:36.004899,2025-12-07 02:07:37.439501,0 days 00:00:01.434602,0.00040013387236079157,116,extensive,116,COMPLETE
143,-0.0007027314751180865,2025-12-07 02:07:37.440506,2025-12-07 02:07:38.882247,0 days 00:00:01.441741,0.0007397025211323887,129,extensive,129,COMPLETE
144,0.00032100100234141077,2025-12-07 02:07:38.883256,2025-12-07 02:07:40.292241,0 days 00:00:01.408985,0.0005663528648222406,107,extensive,107,COMPLETE
145,-0.0016559721242364045,2025-12-07 02:07:40.294245,2025-12-07 02:07:41.695680,0 days 00:00:01.401435,0.001196338383594085,95,extensive,95,COMPLETE
146,-0.009268887701032033,2025-12-07 02:07:41.699680,2025-12-07 02:07:43.225792,0 days 00:00:01.526112,0.00031065440700859306,80,extensive,80,COMPLETE
147,-0.002157551418601892,2025-12-07 02:07:43.226799,2025-12-07 02:07:44.665768,0 days 00:00:01.438969,0.0004214109056247979,121,extensive,121,COMPLETE
148,0.00044463609999930337,2025-12-07 02:07:44.666773,2025-12-07 02:07:46.104864,0 days 00:00:01.438091,0.0005451502020226757,102,extensive,102,COMPLETE
149,-0.001077275645931704,2025-12-07 02:07:46.105869,2025-12-07 02:07:47.521509,0 days 00:00:01.415640,0.0008658345582750342,133,extensive,133,COMPLETE
150,-0.0005611124981481271,2025-12-07 02:07:47.523056,2025-12-07 02:07:48.969414,0 days 00:00:01.446358,0.0007177516531249088,149,extensive,149,COMPLETE
151,0.0002826361125061183,2025-12-07 02:07:48.970424,2025-12-07 02:07:50.402756,0 days 00:00:01.432332,0.0005161059447213581,102,extensive,102,COMPLETE
152,0.00020835236516703048,2025-12-07 02:07:50.404197,2025-12-07 02:07:51.811181,0 days 00:00:01.406984,0.0005101292199233612,106,extensive,106,COMPLETE
153,-0.006024626248329408,2025-12-07 02:07:51.812384,2025-12-07 02:07:53.214535,0 days 00:00:01.402151,0.0003454385351545096,115,extensive,115,COMPLETE
154,0.00021122923171135177,2025-12-07 02:07:53.215540,2025-12-07 02:07:54.629801,0 days 00:00:01.414261,0.0005695989437606437,87,extensive,87,COMPLETE
