number,value,datetime_start,datetime_complete,duration,params_selector__k,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feature_level,user_attrs_top_k_features,state
141,0.0008661135389596749,2025-12-07 02:56:50.431205,2025-12-07 02:56:59.605037,0 days 00:00:09.173832,479,0.7547851921330417,0.0024838925022456445,5,11,396,0.10953335408213027,12.264185602855438,0.7308607861114081,extensive,479,COMPLETE
142,4.7162587184512716e-05,2025-12-07 02:56:59.606043,2025-12-07 02:57:07.847786,0 days 00:00:08.241743,470,0.7544711686189803,0.00273064153048807,6,11,273,0.31238988780833854,13.04811674454795,0.6995057250769021,extensive,470,COMPLETE
143,0.0013612539458706847,2025-12-07 02:57:07.850297,2025-12-07 02:57:16.081416,0 days 00:00:08.231119,453,0.7802233718420374,0.0025641904834772414,5,10,361,0.07856175031843482,10.988482947885387,0.666997465429485,extensive,453,COMPLETE
144,-0.003571649387616412,2025-12-07 02:57:16.082470,2025-12-07 02:57:22.224668,0 days 00:00:06.142198,449,0.7796563777073159,0.0034220695697125664,4,16,421,0.004656058403511007,10.959700477328273,0.6270313156451637,extensive,449,COMPLETE
145,0.0007584557933816664,2025-12-07 02:57:22.225516,2025-12-07 02:57:30.753884,0 days 00:00:08.528368,456,0.7254597922187901,0.0031163140465622526,6,10,279,0.2333641375319497,9.171111771888382,0.6528570880959087,extensive,456,COMPLETE
146,-0.0014689829382864932,2025-12-07 02:57:30.754891,2025-12-07 02:57:40.661570,0 days 00:00:09.906679,440,0.7397503267303305,0.0037905323116427594,5,10,549,0.5095893710396551,14.66160020776614,0.6637800976516915,extensive,440,COMPLETE
147,0.00022123946203352526,2025-12-07 02:57:40.662575,2025-12-07 02:57:50.597431,0 days 00:00:09.934856,484,0.8034326993642072,0.002258977302919831,6,11,334,0.39666654491509606,0.8939543965391078,0.7536885762691914,extensive,484,COMPLETE
148,-0.0007977557846623092,2025-12-07 02:57:50.598435,2025-12-07 02:57:59.765618,0 days 00:00:09.167183,468,0.545925954830982,0.00279667535704883,4,10,654,0.17229332597311256,7.349138847052996,0.6871218048252642,extensive,468,COMPLETE
149,-0.005616709301513219,2025-12-07 02:57:59.766623,2025-12-07 02:58:28.036228,0 days 00:00:28.269605,390,0.6955012569121448,0.0019474188088604452,5,12,1593,0.28295131987231104,8.426377391675,0.6747252056781863,extensive,390,COMPLETE
150,0.001623273278373157,2025-12-07 02:58:28.037228,2025-12-07 02:58:32.481032,0 days 00:00:04.443804,412,0.6597800161538443,0.002423588632260624,5,9,201,0.08984004907253688,16.231910269751403,0.7425166820178531,extensive,412,COMPLETE
