number,value,datetime_start,datetime_complete,duration,params_selector__k,user_attrs_feature_level,user_attrs_top_k_features,state
169,-0.010674821554269206,2025-12-07 01:52:49.636522,2025-12-07 01:52:51.071914,0 days 00:00:01.435392,10,extensive,10,COMPLETE
170,0.00013629396337352015,2025-12-07 01:52:51.073002,2025-12-07 01:52:52.502166,0 days 00:00:01.429164,1,extensive,1,COMPLETE
171,-0.010674821554269206,2025-12-07 01:52:52.503788,2025-12-07 01:52:53.925579,0 days 00:00:01.421791,10,extensive,10,COMPLETE
172,-0.3186315686483496,2025-12-07 01:52:53.925579,2025-12-07 01:52:55.400918,0 days 00:00:01.475339,28,extensive,28,COMPLETE
173,-0.04807846876274654,2025-12-07 01:52:55.401923,2025-12-07 01:52:56.833352,0 days 00:00:01.431429,18,extensive,18,COMPLETE
174,0.00013629396337352015,2025-12-07 01:52:56.834353,2025-12-07 01:52:58.288388,0 days 00:00:01.454035,1,extensive,1,COMPLETE
175,-0.010674821554269206,2025-12-07 01:52:58.289568,2025-12-07 01:52:59.754412,0 days 00:00:01.464844,10,extensive,10,COMPLETE
176,-0.14977220088363138,2025-12-07 01:52:59.755681,2025-12-07 01:53:01.265486,0 days 00:00:01.509805,24,extensive,24,COMPLETE
177,-0.4579573080936658,2025-12-07 01:53:01.266493,2025-12-07 01:53:02.737720,0 days 00:00:01.471227,33,extensive,33,COMPLETE
178,-0.011992748964072689,2025-12-07 01:53:02.738721,2025-12-07 01:53:04.234434,0 days 00:00:01.495713,16,extensive,16,COMPLETE
179,0.00013629396337352015,2025-12-07 01:53:04.236615,2025-12-07 01:53:05.706503,0 days 00:00:01.469888,1,extensive,1,COMPLETE
180,-114912075.51307894,2025-12-07 01:53:05.707504,2025-12-07 01:53:07.307109,0 days 00:00:01.599605,148,extensive,148,COMPLETE
181,-0.01102976205781018,2025-12-07 01:53:07.308108,2025-12-07 01:53:08.769638,0 days 00:00:01.461530,8,extensive,8,COMPLETE
182,0.00013629396337352015,2025-12-07 01:53:08.770840,2025-12-07 01:53:10.234256,0 days 00:00:01.463416,1,extensive,1,COMPLETE
183,-0.10713237910019376,2025-12-07 01:53:10.234256,2025-12-07 01:53:11.653812,0 days 00:00:01.419556,20,extensive,20,COMPLETE
184,-0.010409126173960429,2025-12-07 01:53:11.654817,2025-12-07 01:53:13.085763,0 days 00:00:01.430946,11,extensive,11,COMPLETE
185,-0.10713237910019376,2025-12-07 01:53:13.087765,2025-12-07 01:53:14.506772,0 days 00:00:01.419007,20,extensive,20,COMPLETE
186,-75252.01071687622,2025-12-07 01:53:14.507776,2025-12-07 01:53:16.019927,0 days 00:00:01.512151,120,extensive,120,COMPLETE
187,0.00013629396337352015,2025-12-07 01:53:16.021073,2025-12-07 01:53:17.489200,0 days 00:00:01.468127,1,extensive,1,COMPLETE
188,-0.33982639641997886,2025-12-07 01:53:17.489851,2025-12-07 01:53:18.986777,0 days 00:00:01.496926,29,extensive,29,COMPLETE
189,-0.010674821554269206,2025-12-07 01:53:18.988064,2025-12-07 01:53:20.472743,0 days 00:00:01.484679,10,extensive,10,COMPLETE
190,-0.04800100759305718,2025-12-07 01:53:20.473993,2025-12-07 01:53:21.903364,0 days 00:00:01.429371,17,extensive,17,COMPLETE
