number,value,datetime_start,datetime_complete,duration,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
152,-20717.464164749657,2025-12-08 12:33:44.541483,2025-12-08 12:33:45.875451,0 days 00:00:01.333968,extensive,final,ols,pca_hybrid,True,COMPLETE
153,-20447.23966093644,2025-12-08 12:33:45.875451,2025-12-08 12:33:47.174210,0 days 00:00:01.298759,extensive,final,ols,pca_hybrid,True,COMPLETE
154,-20590.63475581657,2025-12-08 12:33:47.174210,2025-12-08 12:33:48.507419,0 days 00:00:01.333209,extensive,final,ols,pca_hybrid,True,COMPLETE
155,-20714.245932727525,2025-12-08 12:33:48.507419,2025-12-08 12:33:49.850000,0 days 00:00:01.342581,extensive,final,ols,pca_hybrid,True,COMPLETE
156,-20421.06069868717,2025-12-08 12:33:49.850000,2025-12-08 12:33:51.236992,0 days 00:00:01.386992,extensive,final,ols,pca_hybrid,True,COMPLETE
157,-20630.638500188983,2025-12-08 12:33:51.236992,2025-12-08 12:33:52.607225,0 days 00:00:01.370233,extensive,final,ols,pca_hybrid,True,COMPLETE
158,-20451.175168020243,2025-12-08 12:33:52.608226,2025-12-08 12:33:53.950161,0 days 00:00:01.341935,extensive,final,ols,pca_hybrid,True,COMPLETE
159,-20776.12707119175,2025-12-08 12:33:53.950161,2025-12-08 12:33:55.315508,0 days 00:00:01.365347,extensive,final,ols,pca_hybrid,True,COMPLETE
160,-20476.3383490058,2025-12-08 12:33:55.315508,2025-12-08 12:33:56.593129,0 days 00:00:01.277621,extensive,final,ols,pca_hybrid,True,COMPLETE
161,-20873.280761334292,2025-12-08 12:33:56.594331,2025-12-08 12:33:57.977220,0 days 00:00:01.382889,extensive,final,ols,pca_hybrid,True,COMPLETE
162,-20499.5447076226,2025-12-08 12:33:57.977220,2025-12-08 12:33:59.455452,0 days 00:00:01.478232,extensive,final,ols,pca_hybrid,True,COMPLETE
163,-20558.85436604097,2025-12-08 12:33:59.455452,2025-12-08 12:34:00.818619,0 days 00:00:01.363167,extensive,final,ols,pca_hybrid,True,COMPLETE
164,-20216.5986234053,2025-12-08 12:34:00.818619,2025-12-08 12:34:02.221654,0 days 00:00:01.403035,extensive,final,ols,pca_hybrid,True,COMPLETE
165,-20220.41693390528,2025-12-08 12:34:02.221654,2025-12-08 12:34:03.542460,0 days 00:00:01.320806,extensive,final,ols,pca_hybrid,True,COMPLETE
