number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
83,-0.0016559720935109083,2025-12-08 14:22:05.983328,2025-12-08 14:22:07.496949,0 days 00:00:01.513621,0.9742580215340522,0.015549025002042765,4,16,1545,113,1.5403207532171486,0.1619812640150443,0.7402348869034459,extensive,final,lgbm,pca_block,True,COMPLETE
84,-0.0016052105323901185,2025-12-08 14:22:07.496949,2025-12-08 14:22:09.015412,0 days 00:00:01.518463,0.9491737069439455,0.0232778344301586,3,25,1184,118,0.6561999811352068,0.39924753084937076,0.6476200095889444,extensive,final,lgbm,pca_block,True,COMPLETE
85,-0.0011702113115232837,2025-12-08 14:22:09.015412,2025-12-08 14:22:10.643264,0 days 00:00:01.627852,0.9975062133995081,0.013845721123884595,10,20,1981,115,0.8636787565937746,0.3396736870534258,0.7562246602887067,extensive,final,lgbm,pca_block,True,COMPLETE
86,-0.001642490985367025,2025-12-08 14:22:10.643264,2025-12-08 14:22:12.479507,0 days 00:00:01.836243,0.9838142439182352,0.014232115803902726,9,18,2326,115,1.0793086732580721,0.31187093622294526,0.7813191553038631,extensive,final,lgbm,pca_block,True,COMPLETE
87,-0.0016620275170499132,2025-12-08 14:22:12.479507,2025-12-08 14:22:14.143151,0 days 00:00:01.663644,0.9718147503050648,0.012377936312104062,10,22,1966,120,0.7650886187021204,0.5593989639570232,0.8350915592576612,extensive,final,lgbm,pca_block,True,COMPLETE
88,-0.0011499668773670146,2025-12-08 14:22:14.143151,2025-12-08 14:22:15.743335,0 days 00:00:01.600184,0.9990508035539191,0.017426239310966773,10,14,2085,117,0.8812867865544469,0.35446478983613916,0.6915673994235116,extensive,final,lgbm,pca_block,True,COMPLETE
89,-0.06597323150600576,2025-12-08 14:22:15.743335,2025-12-08 14:22:17.888213,0 days 00:00:02.144878,0.9323538670493831,0.018025141301943885,4,14,1693,117,0.24405924349206298,0.24713117837882387,0.6912824831817763,extensive,final,lgbm,pca_block,True,COMPLETE
90,-0.0025107749304585556,2025-12-08 14:22:17.888213,2025-12-08 14:22:19.480821,0 days 00:00:01.592608,0.7661604522011568,0.030493218263757754,5,12,2079,126,0.5375276957547301,0.9713664568379564,0.7305034111384942,extensive,final,lgbm,pca_block,True,COMPLETE
91,-0.001197149630256522,2025-12-08 14:22:19.480821,2025-12-08 14:22:21.156644,0 days 00:00:01.675823,0.9922164048159718,0.019751979066860676,10,10,2147,112,0.9547232429154977,0.3526864206424173,0.7548787259986928,extensive,final,lgbm,pca_block,True,COMPLETE
92,-0.0011602580838745065,2025-12-08 14:22:21.157274,2025-12-08 14:22:22.859786,0 days 00:00:01.702512,0.999404945860873,0.01662331700276194,10,17,1767,114,0.8740241761830334,0.2234167684391698,0.6744086901080788,extensive,final,lgbm,pca_block,True,COMPLETE
93,-0.0019189277460748648,2025-12-08 14:22:22.859786,2025-12-08 14:22:24.593170,0 days 00:00:01.733384,0.9667961093486013,0.015968374450214005,9,17,1783,114,0.7134716654063756,0.21042577263635442,0.674413052896629,extensive,final,lgbm,pca_block,True,COMPLETE
94,-0.0014700982721377691,2025-12-08 14:22:24.594459,2025-12-08 14:22:26.196900,0 days 00:00:01.602441,0.9982128428373245,0.02251767941125311,11,15,1595,70,1.0406504531147156,3.6025586004721877,0.7054548458306684,extensive,final,lgbm,pca_block,True,COMPLETE
