number,value,datetime_start,datetime_complete,duration,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
125,-88876.66435618936,2025-12-08 12:39:39.746634,2025-12-08 12:39:40.952253,0 days 00:00:01.205619,extensive,final,ols,pca_block,True,COMPLETE
126,-88881.70973493396,2025-12-08 12:39:40.952253,2025-12-08 12:39:42.197075,0 days 00:00:01.244822,extensive,final,ols,pca_block,True,COMPLETE
127,-88878.95433550613,2025-12-08 12:39:42.199080,2025-12-08 12:39:43.417973,0 days 00:00:01.218893,extensive,final,ols,pca_block,True,COMPLETE
128,-88878.39741377265,2025-12-08 12:39:43.418793,2025-12-08 12:39:44.649587,0 days 00:00:01.230794,extensive,final,ols,pca_block,True,COMPLETE
129,-88878.11327944622,2025-12-08 12:39:44.649587,2025-12-08 12:39:45.876716,0 days 00:00:01.227129,extensive,final,ols,pca_block,True,COMPLETE
130,-88879.38750656648,2025-12-08 12:39:45.876716,2025-12-08 12:39:47.116509,0 days 00:00:01.239793,extensive,final,ols,pca_block,True,COMPLETE
131,-88876.33257615601,2025-12-08 12:39:47.117014,2025-12-08 12:39:48.340098,0 days 00:00:01.223084,extensive,final,ols,pca_block,True,COMPLETE
132,-88878.26468240896,2025-12-08 12:39:48.340098,2025-12-08 12:39:49.549628,0 days 00:00:01.209530,extensive,final,ols,pca_block,True,COMPLETE
133,-88878.96114595064,2025-12-08 12:39:49.549628,2025-12-08 12:39:50.778313,0 days 00:00:01.228685,extensive,final,ols,pca_block,True,COMPLETE
134,-88878.10339290947,2025-12-08 12:39:50.778313,2025-12-08 12:39:52.000714,0 days 00:00:01.222401,extensive,final,ols,pca_block,True,COMPLETE
135,-88880.71268073445,2025-12-08 12:39:52.000714,2025-12-08 12:39:53.278476,0 days 00:00:01.277762,extensive,final,ols,pca_block,True,COMPLETE
136,-88880.52858070958,2025-12-08 12:39:53.278476,2025-12-08 12:39:54.516046,0 days 00:00:01.237570,extensive,final,ols,pca_block,True,COMPLETE
137,-88876.60165362713,2025-12-08 12:39:54.516046,2025-12-08 12:39:55.809907,0 days 00:00:01.293861,extensive,final,ols,pca_block,True,COMPLETE
138,-88879.18333830468,2025-12-08 12:39:55.810787,2025-12-08 12:39:57.049664,0 days 00:00:01.238877,extensive,final,ols,pca_block,True,COMPLETE
139,-88875.75485951577,2025-12-08 12:39:57.050714,2025-12-08 12:39:58.310958,0 days 00:00:01.260244,extensive,final,ols,pca_block,True,COMPLETE
140,-88874.59113132331,2025-12-08 12:39:58.310958,2025-12-08 12:39:59.567717,0 days 00:00:01.256759,extensive,final,ols,pca_block,True,COMPLETE
141,-88877.95326016186,2025-12-08 12:39:59.568416,2025-12-08 12:40:00.856945,0 days 00:00:01.288529,extensive,final,ols,pca_block,True,COMPLETE
142,-88872.81594411201,2025-12-08 12:40:00.856945,2025-12-08 12:40:02.100182,0 days 00:00:01.243237,extensive,final,ols,pca_block,True,COMPLETE
143,-88880.71586721133,2025-12-08 12:40:02.100182,2025-12-08 12:40:03.328717,0 days 00:00:01.228535,extensive,final,ols,pca_block,True,COMPLETE
144,-88878.87764157537,2025-12-08 12:40:03.328717,2025-12-08 12:40:04.550924,0 days 00:00:01.222207,extensive,final,ols,pca_block,True,COMPLETE
145,-88878.71719246179,2025-12-08 12:40:04.550924,2025-12-08 12:40:05.795164,0 days 00:00:01.244240,extensive,final,ols,pca_block,True,COMPLETE
146,-88877.73172592297,2025-12-08 12:40:05.795164,2025-12-08 12:40:07.017114,0 days 00:00:01.221950,extensive,final,ols,pca_block,True,COMPLETE
147,-88881.2216558798,2025-12-08 12:40:07.018265,2025-12-08 12:40:08.246624,0 days 00:00:01.228359,extensive,final,ols,pca_block,True,COMPLETE
148,-88877.72980759431,2025-12-08 12:40:08.246624,2025-12-08 12:40:09.469097,0 days 00:00:01.222473,extensive,final,ols,pca_block,True,COMPLETE
