number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
68,-0.0017881512108276487,2025-12-08 14:40:33.455461,2025-12-08 14:41:00.639919,0 days 00:00:27.184458,0.3715560145563931,0.002933255125281006,9,18,2314,0.7965520124675928,0.9293337347994202,0.35781165377259294,extensive,final,xgb,pca_only,True,COMPLETE
69,-0.0016559721404409238,2025-12-08 14:41:00.639919,2025-12-08 14:41:32.489862,0 days 00:00:31.849943,0.6456097961897527,0.00117813558592617,8,1,3284,2.399958284816579,0.5851534389012568,0.48397160593948174,extensive,final,xgb,pca_only,True,COMPLETE
70,-0.0016600948331417786,2025-12-08 14:41:32.489862,2025-12-08 14:41:45.764029,0 days 00:00:13.274167,0.40145412238682293,0.0014224330462697988,9,18,3109,1.384081599738328,0.47034684895695367,0.44330675949071535,extensive,final,xgb,pca_only,True,COMPLETE
71,-0.0016539105248956076,2025-12-08 14:41:45.765034,2025-12-08 14:41:59.810887,0 days 00:00:14.045853,0.3772450980067406,0.0018265811787102392,10,18,3218,1.6307463008854641,0.9747807204980673,0.37027096427162975,extensive,final,xgb,pca_only,True,COMPLETE
72,-0.0016559721404409238,2025-12-08 14:41:59.812053,2025-12-08 14:42:25.330666,0 days 00:00:25.518613,0.453885632086878,0.0017002080837592037,10,20,2832,1.8683474354722516,1.3013284312261886,0.34667092419993445,extensive,final,xgb,pca_only,True,COMPLETE
73,-0.0016574764366332022,2025-12-08 14:42:25.330666,2025-12-08 14:42:50.129012,0 days 00:00:24.798346,0.4151588516838521,0.002133532760879004,10,17,3593,1.6023327654084245,0.6561982557869946,0.4094725375225659,extensive,final,xgb,pca_only,True,COMPLETE
74,-0.0016559721404409238,2025-12-08 14:42:50.130018,2025-12-08 14:43:01.910598,0 days 00:00:11.780580,0.34687734163820555,0.0018840602115066994,3,19,2981,2.0672792364220287,0.8385784792145109,0.3842379217048175,extensive,final,xgb,pca_only,True,COMPLETE
75,-0.0016660878311145488,2025-12-08 14:43:01.910598,2025-12-08 14:43:12.292031,0 days 00:00:10.381433,0.3004378677518714,0.0015394673691991728,9,16,2652,1.0971284201216707,2.1465724758264346,0.3273030972759879,extensive,final,xgb,pca_only,True,COMPLETE
76,-0.0016559721404409238,2025-12-08 14:43:12.292588,2025-12-08 14:43:25.095153,0 days 00:00:12.802565,0.38914695843791,0.0011203275268764914,10,15,3340,1.7472430960696783,1.5724684382397294,0.3625924202273175,extensive,final,xgb,pca_only,True,COMPLETE
77,-0.0016576966361844618,2025-12-08 14:43:25.096537,2025-12-08 14:43:34.899661,0 days 00:00:09.803124,0.3725141460870689,0.002398640523185288,9,17,2533,1.4115329070864708,0.9368716670785175,0.3181139471857192,extensive,final,xgb,pca_only,True,COMPLETE
78,-0.0016559721404409238,2025-12-08 14:43:34.900660,2025-12-08 14:43:42.749102,0 days 00:00:07.848442,0.31595615859071186,0.0013150572463667424,9,18,1970,1.8695198782903564,0.7086621187398892,0.3911007217205628,extensive,final,xgb,pca_only,True,COMPLETE
79,-0.0016549218482806438,2025-12-08 14:43:42.750304,2025-12-08 14:43:53.649298,0 days 00:00:10.898994,0.4234846276139228,0.0016349543246742136,8,20,2785,1.5628136479572503,3.129324435680491,0.4236984352768679,extensive,final,xgb,pca_only,True,COMPLETE
80,-0.0016559721404409238,2025-12-08 14:43:53.650301,2025-12-08 14:44:05.628886,0 days 00:00:11.978585,0.3628880163046277,0.00623784055207528,10,16,3103,2.1382520547324924,1.190320126617802,0.3348262454726256,extensive,final,xgb,pca_only,True,COMPLETE
81,-0.0016537157995077933,2025-12-08 14:44:05.630008,2025-12-08 14:44:18.104699,0 days 00:00:12.474691,0.3848210462811836,0.0018219921681094638,10,18,3204,1.661138975409836,1.0522744451467074,0.3733202841514543,extensive,final,xgb,pca_only,True,COMPLETE
82,-0.0016544047057955868,2025-12-08 14:44:18.105699,2025-12-08 14:44:31.683620,0 days 00:00:13.577921,0.3979080743615039,0.0013818228163992858,10,19,3491,1.635526294654006,0.5831412282002125,0.3565441808683604,extensive,final,xgb,pca_only,True,COMPLETE
83,-0.0016639996890952524,2025-12-08 14:44:31.683620,2025-12-08 14:44:44.219687,0 days 00:00:12.536067,0.3403959759370402,0.0020557272348509918,10,17,3219,1.243550697321387,0.8079975754768254,0.37500260203861446,extensive,final,xgb,pca_only,True,COMPLETE
84,-0.0016541049780736856,2025-12-08 14:44:44.220760,2025-12-08 14:44:55.785352,0 days 00:00:11.564592,0.3593533849532771,0.0017981155807421944,9,18,3011,1.710672847326692,1.418817994150174,0.3449790053481612,extensive,final,xgb,pca_only,True,COMPLETE
85,-0.0016618719135557125,2025-12-08 14:44:55.785352,2025-12-08 14:45:07.257244,0 days 00:00:11.471892,0.4524071253824052,0.00274865728684631,10,19,2944,1.4871024330888853,1.858886250318033,0.4048427794470988,extensive,final,xgb,pca_only,True,COMPLETE
86,-0.0016814580833543296,2025-12-08 14:45:07.257244,2025-12-08 14:45:19.353804,0 days 00:00:12.096560,0.35799180010211995,0.0011792450266057105,10,18,3039,0.9815494110981716,1.4346836998910486,0.3476225000153849,extensive,final,xgb,pca_only,True,COMPLETE
87,-0.0016675721116486593,2025-12-08 14:45:19.355152,2025-12-08 14:45:32.432438,0 days 00:00:13.077286,0.378262857200226,0.0018567810237911644,8,20,3357,1.1586668417477743,1.2394672451042852,0.3112170550447562,extensive,final,xgb,pca_only,True,COMPLETE
88,-0.0016559721404409238,2025-12-08 14:45:32.432438,2025-12-08 14:45:44.533180,0 days 00:00:12.100742,0.42499535325771737,0.0014813343083096518,9,19,3138,1.6888028020418493,1.0321387222669807,0.33143318914285713,extensive,final,xgb,pca_only,True,COMPLETE
89,-0.001656300087230352,2025-12-08 14:45:44.533180,2025-12-08 14:45:57.049529,0 days 00:00:12.516349,0.546537130100006,0.0010763420724074224,10,14,3242,1.400391654292543,2.3210922101164027,0.39474931245186434,extensive,final,xgb,pca_only,True,COMPLETE
90,-0.0016559721404409238,2025-12-08 14:45:57.049529,2025-12-08 14:46:10.689808,0 days 00:00:13.640279,0.4076627759781005,0.002186254205167139,9,18,3606,1.9163318144925936,3.0134537821276903,0.3617273224284607,extensive,final,xgb,pca_only,True,COMPLETE
91,-0.001654657821798115,2025-12-08 14:46:10.689808,2025-12-08 14:46:21.320949,0 days 00:00:10.631141,0.325684167696487,0.0016916265205882727,9,17,2728,1.789930158094404,0.9862124074365489,0.37376834442631146,extensive,final,xgb,pca_only,True,COMPLETE
92,-0.0016559721404409238,2025-12-08 14:46:21.322224,2025-12-08 14:46:32.454511,0 days 00:00:11.132287,0.3481568933194343,0.0012346991684243115,9,16,2881,2.0319727866770485,0.6835302994329087,0.34068102629580543,extensive,final,xgb,pca_only,True,COMPLETE
93,-0.001666461641833224,2025-12-08 14:46:32.456519,2025-12-08 14:46:42.592217,0 days 00:00:10.135698,0.47482828945909056,0.008158070057300843,10,18,2598,1.3639211364468933,0.7876331430118172,0.3004543274511302,extensive,final,xgb,pca_only,True,COMPLETE
94,-0.0016536784405511984,2025-12-08 14:46:42.593322,2025-12-08 14:46:49.369249,0 days 00:00:06.775927,0.31559009794450665,0.00182008452943851,9,17,1697,1.5382303446390369,1.355778814793747,0.3856523035389104,extensive,final,xgb,pca_only,True,COMPLETE
95,-0.0016543465725787538,2025-12-08 14:46:49.369249,2025-12-08 14:46:56.035771,0 days 00:00:06.666522,0.3109077960602726,0.0018203264875186985,9,19,1653,1.52906328128091,1.4403918956440436,0.3530295284651082,extensive,final,xgb,pca_only,True,COMPLETE
96,-0.0016559721404409238,2025-12-08 14:46:56.035771,2025-12-08 14:47:01.862564,0 days 00:00:05.826793,0.36439666620230127,0.001522016673157343,8,18,1453,1.6898915179362175,1.7123497347574155,0.36598865467991587,extensive,final,xgb,pca_only,True,COMPLETE
97,-0.0016559721404409238,2025-12-08 14:47:01.862564,2025-12-08 14:47:09.987738,0 days 00:00:08.125174,0.39355255816720214,0.0024862921888958865,10,20,2026,2.5783359446054597,1.1294209403081064,0.32301161759796726,extensive,final,xgb,pca_only,True,COMPLETE
