number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,params_selector__k,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_top_k_features,user_attrs_use_PCA,state
85,-0.001261529934154515,2025-12-08 20:20:14.518994,2025-12-08 20:20:21.103954,0 days 00:00:06.584960,0.8970358138061063,0.09884143198911872,9,22,3629,104,1.5718441013129523,11.254569623380872,0.567608898827851,16,extensive,final,lgbm,,16,False,COMPLETE
86,-0.003158637299367739,2025-12-08 20:20:21.103954,2025-12-08 20:20:27.507985,0 days 00:00:06.404031,0.8766182104502662,0.015783914158275566,11,97,3911,95,0.7881014647335081,17.745110057887253,0.5021139780285512,7,extensive,final,lgbm,,7,False,COMPLETE
87,-0.0011615988325726968,2025-12-08 20:20:27.507985,2025-12-08 20:20:34.200261,0 days 00:00:06.692276,0.8595897037875175,0.07685074561997104,12,79,3408,86,1.1030038548548176,7.210897207458864,0.6036159462990317,26,extensive,final,lgbm,,26,False,COMPLETE
88,-0.0020576008171960146,2025-12-08 20:20:34.200261,2025-12-08 20:20:41.241396,0 days 00:00:07.041135,0.7027786442403872,0.08489679341857316,10,21,3558,109,0.8857069589269382,13.247087410381416,0.5787836486963485,35,extensive,final,lgbm,,35,False,COMPLETE
89,-0.001163977383356918,2025-12-08 20:20:41.241396,2025-12-08 20:20:48.760320,0 days 00:00:07.518924,0.8328417802971171,0.06260441619874872,12,29,3277,99,1.4021693130251291,9.286148691065106,0.5439681840339387,45,extensive,final,lgbm,,45,False,COMPLETE
90,-0.001128275464828321,2025-12-08 20:20:48.760320,2025-12-08 20:20:55.463319,0 days 00:00:06.702999,0.8101526135784776,0.021129500029466876,11,88,4000,91,1.238349873088105,15.53775601082439,0.5236218707924915,21,extensive,final,lgbm,,21,False,COMPLETE
91,-0.0010140378874886834,2025-12-08 20:20:55.463319,2025-12-08 20:21:02.205252,0 days 00:00:06.741933,0.8432619050424273,0.09318899495791941,11,10,3129,83,1.3079230364329453,10.558665989939213,0.5387294294724193,30,extensive,final,lgbm,,30,False,COMPLETE
92,-0.0015134771790022762,2025-12-08 20:21:02.205252,2025-12-08 20:21:09.003001,0 days 00:00:06.797749,0.8469599095532634,0.09333295771457503,11,13,3065,83,1.0137390101346673,10.18081882871252,0.5348044272960756,31,extensive,final,lgbm,,31,False,COMPLETE
93,-0.001261529934154515,2025-12-08 20:21:09.003001,2025-12-08 20:21:15.382817,0 days 00:00:06.379816,0.8689691353645947,0.0869322348044662,12,10,3150,80,1.5231276147341444,8.168401650237934,0.5954778831472634,16,extensive,final,lgbm,,16,False,COMPLETE
94,-0.001261529934154515,2025-12-08 20:21:15.382817,2025-12-08 20:21:22.242466,0 days 00:00:06.859649,0.9042084561877761,0.09999952197381463,11,18,3694,84,1.7028075882850302,11.375632980338178,0.5614716024056708,24,extensive,final,lgbm,,24,False,COMPLETE
