number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,params_selector__k,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_top_k_features,user_attrs_use_PCA,state
74,-0.23130615777797853,2025-12-08 19:53:27.941910,2025-12-08 19:53:33.805625,0 days 00:00:05.863715,9.233628347426962e-05,0.37761672657141654,27,extensive,final,elastic,,27,False,COMPLETE
75,-0.03400036656891163,2025-12-08 19:53:33.805625,2025-12-08 19:53:39.549789,0 days 00:00:05.744164,0.0003679030085743699,0.4784465152783413,8,extensive,final,elastic,,8,False,COMPLETE
76,-0.0012989835205871713,2025-12-08 19:53:39.549789,2025-12-08 19:53:45.259013,0 days 00:00:05.709224,0.0002047441284147213,0.4434043383798069,4,extensive,final,elastic,,4,False,COMPLETE
77,-0.024610623885095228,2025-12-08 19:53:45.259013,2025-12-08 19:53:50.984457,0 days 00:00:05.725444,0.0006290218268397142,0.4122212548734193,12,extensive,final,elastic,,12,False,COMPLETE
78,0.0019867371410466237,2025-12-08 19:53:50.984457,2025-12-08 19:53:56.782519,0 days 00:00:05.798062,0.00017306808841978445,0.27226583241662977,1,extensive,final,elastic,,1,False,COMPLETE
79,0.0019064486785038913,2025-12-08 19:53:56.782519,2025-12-08 19:54:02.399459,0 days 00:00:05.616940,6.25469360231414e-05,0.3017158033477517,1,extensive,final,elastic,,1,False,COMPLETE
80,-0.00458098332604222,2025-12-08 19:54:02.399459,2025-12-08 19:54:08.080075,0 days 00:00:05.680616,0.00017911475872714792,0.259560611560266,6,extensive,final,elastic,,6,False,COMPLETE
81,0.0009515850486479849,2025-12-08 19:54:08.080075,2025-12-08 19:54:13.702038,0 days 00:00:05.621963,0.000116651168886906,0.22514952719948048,3,extensive,final,elastic,,3,False,COMPLETE
82,-0.041748159545416955,2025-12-08 19:54:13.702038,2025-12-08 19:54:19.373629,0 days 00:00:05.671591,0.00027003685169508867,0.34546903741509,10,extensive,final,elastic,,10,False,COMPLETE
83,-0.001992896047213355,2025-12-08 19:54:19.373629,2025-12-08 19:54:24.999137,0 days 00:00:05.625508,0.00043196702488777506,0.2821803634500973,6,extensive,final,elastic,,6,False,COMPLETE
84,-0.0012615299666745461,2025-12-08 19:54:24.999137,2025-12-08 19:54:30.644755,0 days 00:00:05.645618,0.019377643836412942,0.4157987609352949,3,extensive,final,elastic,,3,False,COMPLETE
85,0.0021239974841314345,2025-12-08 19:54:30.644755,2025-12-08 19:54:36.218254,0 days 00:00:05.573499,0.0003318947751599731,0.3739954633899257,1,extensive,final,elastic,,1,False,COMPLETE
86,0.0021187722634242513,2025-12-08 19:54:36.218254,2025-12-08 19:54:41.862101,0 days 00:00:05.643847,0.00032253727464112464,0.36956372148091193,1,extensive,final,elastic,,1,False,COMPLETE
87,-0.0012027241624618546,2025-12-08 19:54:41.862101,2025-12-08 19:54:47.522492,0 days 00:00:05.660391,0.00032792503354565206,0.35617321662436674,5,extensive,final,elastic,,5,False,COMPLETE
88,-0.03009347475158386,2025-12-08 19:54:47.522492,2025-12-08 19:54:53.191964,0 days 00:00:05.669472,0.0005615292945513197,0.37832797020285064,7,extensive,final,elastic,,7,False,COMPLETE
89,-0.014578016722288045,2025-12-08 19:54:53.191964,2025-12-08 19:54:58.845762,0 days 00:00:05.653798,0.0010452871642242956,0.39057023041910693,9,extensive,final,elastic,,9,False,COMPLETE
90,0.002026377132818191,2025-12-08 19:54:58.845762,2025-12-08 19:55:04.493482,0 days 00:00:05.647720,0.0001330570721002063,0.4793678722434569,1,extensive,final,elastic,,1,False,COMPLETE
91,0.002115609189534018,2025-12-08 19:55:04.493482,2025-12-08 19:55:10.108778,0 days 00:00:05.615296,0.00024477072205741777,0.47587679853282694,1,extensive,final,elastic,,1,False,COMPLETE
92,0.0017431820055710423,2025-12-08 19:55:10.108778,2025-12-08 19:55:15.764878,0 days 00:00:05.656100,0.00025732644587976735,0.42004548472471354,3,extensive,final,elastic,,3,False,COMPLETE
93,-0.0006914347104572504,2025-12-08 19:55:15.764878,2025-12-08 19:55:21.449251,0 days 00:00:05.684373,0.0003685509137864972,0.3243995483064366,4,extensive,final,elastic,,4,False,COMPLETE
94,0.0018119142038459878,2025-12-08 19:55:21.449251,2025-12-08 19:55:27.275157,0 days 00:00:05.825906,0.0007190498758013385,0.4982343017947659,1,extensive,final,elastic,,1,False,COMPLETE
95,-0.0007474233998926661,2025-12-08 19:55:27.277717,2025-12-08 19:55:32.891749,0 days 00:00:05.614032,0.000303138450372013,0.45207795002666884,5,extensive,final,elastic,,5,False,COMPLETE
96,-0.04013927770825114,2025-12-08 19:55:32.891749,2025-12-08 19:55:38.549520,0 days 00:00:05.657771,0.00022453429832042194,0.5451558397210139,8,extensive,final,elastic,,8,False,COMPLETE
97,0.002157979899449236,2025-12-08 19:55:38.549520,2025-12-08 19:55:44.180065,0 days 00:00:05.630545,0.00047137056619686964,0.39932362573796853,3,extensive,final,elastic,,3,False,COMPLETE
98,-0.03133211896350159,2025-12-08 19:55:44.182088,2025-12-08 19:55:49.829921,0 days 00:00:05.647833,0.0004891089095616785,0.39418922798421363,11,extensive,final,elastic,,11,False,COMPLETE
99,-0.004259891787780657,2025-12-08 19:55:49.829921,2025-12-08 19:55:55.484527,0 days 00:00:05.654606,0.00016226959038712722,0.3381292694946281,6,extensive,final,elastic,,6,False,COMPLETE
