number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,user_attrs_feature_level,state
76,-0.0016559720935109083,2025-12-07 18:24:05.999758,2025-12-07 18:24:08.272716,0 days 00:00:02.272958,0.5714996355048907,0.08138732679836669,4,61,580,117,1.8617284297369996,1.028657386061248,0.828028648340004,medium,COMPLETE
77,-0.010930580356288319,2025-12-07 18:24:08.272716,2025-12-07 18:24:10.137930,0 days 00:00:01.865214,0.5193221799783505,0.09323496284885867,3,69,321,95,0.8658919481620472,0.7393485765605726,0.8088594035159754,medium,COMPLETE
78,-0.024542263265856363,2025-12-07 18:24:10.139782,2025-12-07 18:24:12.708939,0 days 00:00:02.569157,0.5544016979381479,0.08796578136070408,4,58,709,126,0.6583237643468921,2.0024359307651083,0.853810395395142,medium,COMPLETE
79,-0.0016113506416432315,2025-12-07 18:24:12.710450,2025-12-07 18:24:14.904872,0 days 00:00:02.194422,0.617188756835256,0.013350920080887565,6,67,490,120,1.3576877914815986,1.201672905866404,0.8714447441000385,medium,COMPLETE
80,-0.0016559720935109083,2025-12-07 18:24:14.904872,2025-12-07 18:24:17.398214,0 days 00:00:02.493342,0.5002235930018052,0.05211269863308683,5,63,829,115,3.6266553970246957,0.9931838868533744,0.7852974972869637,medium,COMPLETE
81,-0.0016559720935109083,2025-12-07 18:24:17.398214,2025-12-07 18:24:22.027255,0 days 00:00:04.629041,0.58632967974345,0.07383243873556,4,51,2087,118,4.959631110905052,1.6920514806151001,0.8392585123429658,medium,COMPLETE
82,-0.0015985960564771269,2025-12-07 18:24:22.029263,2025-12-07 18:24:23.812890,0 days 00:00:01.783627,0.6486384445352477,0.0819971544163178,3,90,287,103,1.5438126248002972,4.124143647871347,0.819541266858656,medium,COMPLETE
83,-0.004929721185044496,2025-12-07 18:24:23.816400,2025-12-07 18:24:26.163803,0 days 00:00:02.347403,0.7312944928620911,0.06568720835299817,4,75,589,111,1.0655261348026008,0.16864132270079424,0.7591154267346314,medium,COMPLETE
84,-0.001611033169049832,2025-12-07 18:24:26.163803,2025-12-07 18:24:31.260481,0 days 00:00:05.096678,0.5668503421461434,0.09960397069333479,6,97,2304,113,1.4366303300791883,15.920825833206907,0.7935924971219538,medium,COMPLETE
85,-0.0016559720935109083,2025-12-07 18:24:31.260481,2025-12-07 18:24:34.100200,0 days 00:00:02.839719,0.5330038395921584,0.07464338532913421,5,78,987,123,2.050579694563729,3.4268050338497003,0.7683172208588024,medium,COMPLETE
86,-0.0016217761361219107,2025-12-07 18:24:34.100200,2025-12-07 18:24:40.452648,0 days 00:00:06.352448,0.8790836681085896,0.09220023649099442,5,82,2456,108,1.6684516045281437,0.11572477587987977,0.7243688878222204,medium,COMPLETE
87,-0.0021522071810007684,2025-12-07 18:24:40.452648,2025-12-07 18:24:42.505655,0 days 00:00:02.053007,0.5978911742515297,0.05907337792733755,8,73,470,114,1.279618493331903,2.5878498798870773,0.7486386282423352,medium,COMPLETE
88,-0.0016559720935109083,2025-12-07 18:24:42.505655,2025-12-07 18:24:48.170352,0 days 00:00:05.664697,0.5431741330263586,0.0827057334255929,9,56,2783,116,1.8255529753305995,0.14773069441644388,0.8575478656334947,medium,COMPLETE
89,-0.00159169775805242,2025-12-07 18:24:48.172357,2025-12-07 18:24:52.984219,0 days 00:00:04.811862,0.5765219639468202,0.030252803131319898,6,48,2166,119,1.553297854808312,0.6481496776015081,0.6976036200529143,medium,COMPLETE
